title,Directed by,Story by,Based on,Produced by,Music by,Production company,Distributed by,Running time,Country,Language,Budget,Box office,Starring,Cinematography,Written by,Edited by,Languages,Narrated by,Screenplay by,Countries,Production companies,Music by(new),Story by(new),Directed by(new),Produced by(new),Written by(new),Screenplay by(new),Distributed by(new),combined_release_date,dates,Run Time,Budget_new,Box office_new,Starring_fixed,Cinematography_fixed,Production companies_fixed
Snow White and the Seven Dwarfs,"['Perce Pearce', 'William Cottrell', 'Larry Morey', 'Wilfred Jackson', 'Ben Sharpsteen']","['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']","['""', 'Snow White', '""', 'by the', 'Brothers Grimm']",Walt Disney,"['Frank Churchill', 'Leigh Harline', 'Paul Smith']",Walt Disney Productions,RKO Radio Pictures,83 minutes,United States,English,$1.5 million,$418 million,,,,,,,,,,"Frank Churchill, Leigh Harline, Paul Smith","Ted Sears, Richard Creedon, Otto Englander, Dick Rickard, Earl Hurd, Merrill De Maris, Dorothy Ann Blank, Webb Smith","Perce Pearce, William Cottrell, Larry Morey, Wilfred Jackson, Ben Sharpsteen",Walt Disney,,,RKO Radio Pictures,"['December 21, 1937 ( Carthay Circle Theatre )', 'February 4, 1938 (United States)']",1938-02-04,01:23:00,"1,500,000.00","418,000,000.00",,,
Pinocchio,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']","['Ted Sears', 'Otto Englander', 'Webb Smith', 'William Cottrell', 'Joseph Sabo', 'Erdman Penner', 'Aurelius Battaglia']","['The Adventures of Pinocchio', 'by', 'Carlo Collodi']",Walt Disney,"['Leigh Harline', 'Paul J. Smith']",Walt Disney Productions,RKO Radio Pictures,88 minutes,United States,English,$2.6 million,$164 million,"['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']",,,,,,,,,"Leigh Harline, Paul J. Smith","Ted Sears, Otto Englander, Webb Smith, William Cottrell, Joseph Sabo, Erdman Penner, Aurelius Battaglia","Ben Sharpsteen, Hamilton Luske, Bill Roberts, Norman Ferguson, Jack Kinney, Wilfred Jackson, T. Hee",Walt Disney,,,RKO Radio Pictures,"['February 7, 1940 ( Center Theatre )', 'February 23, 1940 (United States)']",1940-02-23,01:28:00,"2,600,000.00","164,000,000.00","Cliff Edwards, Dickie Jones, Christian Rub, Walter Catlett, Charles Judels, Evelyn Venable, Frankie Darro",,
Fantasia,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Joe Grant', 'Dick Huemer']",,"['Walt Disney', 'Ben Sharpsteen']",See plot,Walt Disney Productions,RKO Radio Pictures,126 minutes,United States,English,$2.28 million,$76.4–$83.3 million (United States and Canada),"['Leopold Stokowski', 'Deems Taylor']",James Wong Howe,,,,,,,,,"Joe Grant, Dick Huemer","Samuel Armstrong, James Algar, Bill Roberts, Paul Satterfield, Ben Sharpsteen, David D. Hand, Hamilton Luske, Jim Handley, Ford Beebe, T. Hee, Norman Ferguson, Wilfred Jackson","Walt Disney, Ben Sharpsteen",,,RKO Radio Pictures,"['November 13, 1940']",1940-11-13,02:06:00,"2,280,000.00","83,300,000.00","Leopold Stokowski, Deems Taylor",James Wong Howe,
The Reluctant Dragon,"['Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)']",,,Walt Disney,"['Frank Churchill', 'Larry Morey']",Walt Disney Productions,RKO Radio Pictures,74 minutes,United States,English,"$600,000","$960,000 (worldwide rentals)","['Robert Benchley', 'Frances Gifford', 'Buddy Pepper', 'Nana Bryant']",Bert Glennon,"['Live-action:', 'Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'The Reluctant Dragon', 'segment:', 'Kenneth Grahame', '(original book)', 'Erdman Penner', 'T. Hee', 'Baby Weems', 'segment:', 'Joe Grant', 'Dick Huemer', 'John Miller']",Paul Weatherwax,,,,,,"Frank Churchill, Larry Morey",,"Alfred Werker, Hamilton Luske, Jack Cutting, Ub Iwerks, Jack Kinney",Walt Disney,"Ted Sears, Al Perkins, Larry Clemmons, Bill Cottrell, Harry Clork, Robert Benchley, The Reluctant Dragon, segment, Kenneth Grahame, Erdman Penner, T. Hee, Baby Weems, segment, Joe Grant, Dick Huemer, John Miller",,RKO Radio Pictures,"['June 27, 1941']",1941-06-27,01:14:00,"600,000.00","960,000.00","Robert Benchley, Frances Gifford, Buddy Pepper, Nana Bryant",Bert Glennon,
Dumbo,"['Ben Sharpsteen', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']","['Joe Grant', 'Dick Huemer']","['Dumbo, the Flying Elephant', 'by', 'Helen Aberson', 'Harold Pearl']",Walt Disney,"['Frank Churchill', 'Oliver Wallace']",Walt Disney Productions,RKO Radio Pictures,64 minutes,United States,English,"$950,000",">$1.3 million (est. United States/Canada rentals, 1941)",,,,,,,,,,"Frank Churchill, Oliver Wallace","Joe Grant, Dick Huemer","Ben Sharpsteen, Norman Ferguson, Wilfred Jackson, Bill Roberts, Jack Kinney, Samuel Armstrong",Walt Disney,,,RKO Radio Pictures,"['October 23, 1941 (New York City)', 'October 31, 1941 (U.S.)']",1941-10-23,01:04:00,"950,000.00","1,300,000.00",,,
Bambi,"['James Algar', 'Bill Roberts', 'Norman Wright', 'Sam Armstrong', 'Paul Satterfield', 'Graham Heid']","['Perce Pearce', 'Larry Morey', 'George Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Chuck Couch', 'Ralph Wright']","['Bambi, a Life in the Woods', 'by', 'Felix Salten']",Walt Disney,"['Frank Churchill', 'Edward Plumb']",Walt Disney Productions,RKO Radio Pictures,70 minutes,United States,English,"$858,000",$267.4 million,,,,,,,,,,"Frank Churchill, Edward Plumb","Perce Pearce, Larry Morey, George Stallings, Melvin Shaw, Carl Fallberg, Chuck Couch, Ralph Wright","James Algar, Bill Roberts, Norman Wright, Sam Armstrong, Paul Satterfield, Graham Heid",Walt Disney,,,RKO Radio Pictures,"['August 9, 1942 ( London )', 'August 21, 1942 (United States)']",1942-08-21,01:10:00,"858,000.00","267,399,999.00",,,
Saludos Amigos,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']","['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']",,"['Walt Disney', 'Norm Ferguson']","['Paul Smith', 'Edward H. Plumb']",Walt Disney Productions,RKO Radio Pictures,42 minutes,United States,,,$1 million (worldwide rentals),,,,,"['English', 'Portuguese', 'Spanish']",,,,,"Paul Smith, Edward H. Plumb","Homer Brightman, William Cottrell, Richard Huemer, Joe Grant, Harold Reeves, Ted Sears, Webb Smith, Roy Williams, Ralph Wright","Norman Ferguson, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts","Walt Disney, Norm Ferguson",,,RKO Radio Pictures,"['August 24, 1942 (Rio de Janeiro)', 'February 6, 1943 (Boston)', 'February 19, 1943 (United States)']",1943-02-19,00:42:00,nan,"1,000,000.00",,,
Victory Through Air Power,"['Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']",,Victory Through Air Power by Maj. Alexander P. Seversky,Walt Disney,"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",Walt Disney Productions,United Artists,65 min,United States,English,"$788,000","$799,000",Alexander de Seversky,Ray Rennahan,"['Story direction:', 'Perce Pearce', 'Story adaptation:', 'T. Hee', 'Erdman Penner', 'Bill Cottrell', 'James Brodero', 'George Stallings', 'Jose Rodriguez']",Jack Dennis,,Art Baker,,,,"Edward H. Plumb, Paul J. Smith, Oliver Wallace",,"Animated sequences, James Algar, Clyde Geronimi, Jack Kinney, de Seversky scenes, H.C. Potter",Walt Disney,"Perce Pearce, T. Hee, Erdman Penner, Bill Cottrell, James Brodero, George Stallings, Jose Rodriguez",,United Artists,"['July 17, 1943']",1943-07-17,01:05:00,"788,000.00","799,000.00",Alexander de Seversky,Ray Rennahan,
The Three Caballeros,"['Norman Ferguson', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young']","['Homer Brightman', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']",,"['Walt Disney', 'Norman Ferguson']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",Walt Disney Productions,RKO Radio Pictures,71 minutes,United States,,,$3.355 million (worldwide rentals),"['Joaquin Garay', 'Clarence Nash', 'José Oliveira', 'Aurora Miranda', 'Carmen Molina', 'Dora Luz']",,,,"['English', 'Spanish', 'Portuguese']",,,,,"Edward H. Plumb, Paul J. Smith, Charles Wolcott","Homer Brightman, Ernest Terrazas, Ted Sears, Bill Peet, Ralph Wright, Elmer Plummer, Roy Williams, William Cottrell, Del Connell, James Bodrero","Norman Ferguson, Clyde Geronimi, Jack Kinney, Bill Roberts, Harold Young","Walt Disney, Norman Ferguson",,,RKO Radio Pictures,"['December 21, 1944 (Mexico City)', 'February 3, 1945 (United States)']",1945-02-03,01:11:00,nan,"3,355,000.00","Joaquin Garay, Clarence Nash, José Oliveira, Aurora Miranda, Carmen Molina, Dora Luz",,
Make Mine Music,"['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Joshua Meador', 'Robert Cormack']","['James Bodrero', 'Homer Brightman', 'Erwin Graham', 'Eric Gurney', 'T. Hee', 'Sylvia Holland', 'Dick Huemer', 'Dick Kelsey', 'Dick Kinney', 'Jesse Marsh', 'Tom Oreb', 'Cap Palmer', 'Erdman Penner', 'Dick Shaw', 'Harry Reeves', 'John Walbridge', 'Roy Williams']","['""', 'Casey at the Bat', '""', 'by', 'Ernest Thayer', 'Peter and the Wolf', 'by', 'Sergei Prokofiev']","['Walt Disney', 'Joe Grant']","['Eliot Daniel', 'Ken Darby', 'Charles Wolcott', 'Oliver Wallace', 'Edward Plumb']",Walt Disney Productions,RKO Radio Pictures,75 minutes,United States,English,$1.35 million,$3.275 million (worldwide rentals),"['Nelson Eddy', 'Dinah Shore', 'Benny Goodman', 'Andrews Sisters', 'Jerry Colonna', 'Andy Russell', 'Sterling Holloway', 'David Lichine', 'Tania Riabouchinskaya', 'Lichine', 'Pied Piers', ""King's Men"", ""Ken Darby's Chorus""]",,,,,,,,,"Eliot Daniel, Ken Darby, Charles Wolcott, Oliver Wallace, Edward Plumb","James Bodrero, Homer Brightman, Erwin Graham, Eric Gurney, T. Hee, Sylvia Holland, Dick Huemer, Dick Kelsey, Dick Kinney, Jesse Marsh, Tom Oreb, Cap Palmer, Erdman Penner, Dick Shaw, Harry Reeves, John Walbridge, Roy Williams","Jack Kinney, Clyde Geronimi, Hamilton Luske, Joshua Meador, Robert Cormack","Walt Disney, Joe Grant",,,RKO Radio Pictures,"['April 20, 1946 (New York City)', 'August 15, 1946 (United States)']",1946-08-15,01:15:00,"1,350,000.00","3,275,000.00","Nelson Eddy, Dinah Shore, Benny Goodman, Andrews Sisters, Jerry Colonna, Andy Russell, Sterling Holloway, David Lichine, Tania Riabouchinskaya, Lichine, Pied Piers, King's Men, Ken Darby's Chorus",,
Song of the South,"['Live action:', 'Harve Foster', 'Animation:', 'Wilfred Jackson']",,"['""', 'Uncle Remus', '""', 'by', 'Joel Chandler Harris']","['Walt Disney', 'Perce Pearce']","['Daniele Amfitheatrof', 'Paul J. Smith']",Walt Disney Productions,RKO Radio Pictures,94 minutes,United States,English,$2.125 million,$65 million,"['Ruth Warrick', 'Lucile Watson', 'Hattie McDaniel', 'James Baskett', 'Bobby Driscoll', 'Luana Patten']",Gregg Toland,,William M. Morgan,,,"['Live action:', 'Morton Grant', 'Maurice Rapf', 'Dalton S. Reymond', 'Animation:', 'Bill Peet', 'George Stallings', 'Ralph Wright']",,,"Daniele Amfitheatrof, Paul J. Smith",,"Live action, Harve Foster, Animation, Wilfred Jackson","Walt Disney, Perce Pearce",,"Live action, Morton Grant, Maurice Rapf, Dalton S. Reymond, Animation, Bill Peet, George Stallings, Ralph Wright",RKO Radio Pictures,"['November 12, 1946 (Atlanta, premiere)', 'January 30, 1947 (Los Angeles)']",1947-01-30,01:34:00,"2,125,000.00","65,000,000.00","Ruth Warrick, Lucile Watson, Hattie McDaniel, James Baskett, Bobby Driscoll, Luana Patten",Gregg Toland,
